Código;Ação
HSML11;FII HSI MALL
HTMX11;FII HOTEL MX
HYPE3;HYPERA
IFCM3;INFRACOMM
IGTI11;IGUATEMI S.A
INEP3;INEPAR
INEP4;INEPAR
INTB3;INTELBRAS
IRBR3;IRBBRASIL RE
IRDM11;FII IRIDIUM
ITLC34;INTEL
ITSA3;ITAUSA
ITSA4;ITAUSA
ITUB3;ITAUUNIBANCO
ITUB4;ITAUUNIBANCO
JALL3;JALLESMACHAD
JBSS3;JBS
JDCO34;JD COM
JHSF3;JHSF PART
JNJB34;JOHNSON
JPMC34;JPMORGAN
JSAF11;FII JS A FIN
JSLG3;JSL
JSRE11;FII JS REAL
K2CG34;KINGSOFT CHL
KCRE11;FII KINEA CR
KEPL3;KEPLER WEBER
KFOF11;FII KINEAFOF
KHCB34;KRAFT HEINZ
KISU11;FII KILIMA
KLBN11;KLABIN S/A
KNCR11;FII KINEA RI
KNHF11;FII KINEA HF
KNHY11;FII KINEA HY
KNIP11;FII KINEA IP
KNRI11;FII KINEA
KNSC11;FII KINEA SC
KORE11;FII KORE
L1MN34;LUMEN TECH
L1YG34;LLOYDS BANKI
LAND3;TERRASANTAPA
LAVV3;LAVVI
LEVE3;METAL LEVE
LGCP11;FII LGCP INT
LILY34;LILLY
LJQQ3;QUERO-QUERO
LOGG3;LOG COM PROP
LOGN3;LOG-IN
LPSB3;LOPES BRASIL
LREN3;LOJAS RENNER
LUPA3;LUPATECH
LVBI11;FII VBI LOG
LVTC3;WDC NETWORKS
LWSA3;LWSA
M1NS34;MONSTER BEVE
M1RN34;MODERNA INC
M1TA34;META PLAT
M2PW34;MEDICAL P TR
M2ST34;MICROSTRATEG
MALL11;FII MALLS BP
MATD3;MATER DEI
MBLY3;MOBLY
MCCI11;FII MAUA
MCDC34;MCDONALDS
MCHY11;FII MAUA HY
MDIA3;M.DIASBRANCO
MDNE3;MOURA DUBEUX
MEAL3;IMC S/A
MELI34;MERCADOLIBRE
MELK3;MELNICK
MFII11;FII MERITO I
MGLU3;MAGAZ LUIZA
MILS3;MILLS
MLAS3;MULTILASER
MOVI3;MOVIDA
MRCK34;MERCK
MRFG3;MARFRIG
MRVE3;MRV
MSBR34;MORGAN STAN
MSCD34;MASTERCARD
MSFT34;MICROSOFT
MTRE3;MITRE REALTY
MULT3;MULTIPLAN
MUTC34;MICRON TECHN
MXRF11;FII MAXI REN
MYPK3;IOCHP-MAXION
N1DA34;NASDAQ INC
N1EM34;NEWMONT GOLD
N1OW34;SERVICENOW
N1VO34;NOVO NORDISK
NCHB11;FII NCH BR
NEOE3;NEOENERGIA
NEXT34;NEXTERA ENER
NFLX34;NETFLIX
NGRD3;NEOGRID
NIKE34;NIKE
NINJ3;GETNINJAS
NTCO3;GRUPO NATURA
NVDC34;NVIDIA CORP
ODPV3;ODONTOPREV
OFSA3;OUROFINO S/A
ONCO3;ONCOCLINICAS
OPCT3;OCEANPACT
ORCL34;ORACLE
ORVR3;ORIZON
OUJP11;FII OURI JPP
OXYP34;OCCIDENT PTR
P1DD34;PDD HOLDING
P1LD34;PROLOGIS INC
P2AN34;PALOALTO NET
P2LT34;PALANTIRTECH
PAGS34;PAGSEGURO
PATL11;FII PATLOGIS
PCAR3;P.ACUCAR-CBD
PDTC3;PADTEC
PEPB34;PEPSICO INC
PETR3;PETROBRAS
PETR4;PETROBRAS
PETZ3;PETZ
PFIZ34;PFIZER
PFRM3;PROFARMA
PGCO34;PG
PGMN3;PAGUE MENOS
PINE4;PINE
PLCR11;FII PLURAL R
PLPL3;PLANOEPLANO
PNVL3;DIMED
POMO3;MARCOPOLO
POMO4;MARCOPOLO
PORD11;FII POLO CRI
PORT3;WILSON SONS
POSI3;POSITIVO TEC
PRIO3;PETRORIO
PRNR3;PRINER
PSSA3;PORTO SEGURO
PTBL3;PORTOBELLO
PTNT4;PETTENATI
PVBI11;FII VBI PRI
PYPL34;PAYPAL HOLD
QCOM34;QUALCOMM
QUAL3;QUALICORP
R1IN34;REALTY INCOM
R2BL34;ROBLOX CORP
RADL3;RAIADROGASIL
RAIL3;RUMO S.A.
RAIZ4;RAIZEN
RANI3;IRANI
RAPT3;RANDON PART
RAPT4;RANDON PART
RBFF11;FII RIOB FF
RBRF11;FII RBRALPHA
RBRL11;FII RBR LOG
RBRP11;FII RBR PROP
RBRR11;FII RBRHGRAD
RBRX11;FII RBR MULT
RBRY11;FII RBR PCRI
RBVA11;FII RIOB VA
RCRB11;FII RIOB RC
RCSL3;RECRUSUL
RDNI3;RNI
RDOR3;REDE D OR
RECR11;FII REC RECE
RECT11;FII REC REND
RECV3;PETRORECSA
RENT3;LOCALIZA
RIGG34;TRANSOCEAN
RIOT34;RIO TINTO
ROMI3;ROMI
RRRP3;3R PETROLEUM
RVBI11;FII VBI REIT
RZAK11;FII RIZA AKN
RZAT11;FII ARCTIUM
RZTR11;FII RIZA TX
S1BS34;SIBANYE STIL
S1LG34;SL GREEN REA
S1PO34;SPOTIFY TECH
S2EA34;SEA LTD
S2HO34;SHOPIFY INC
S2QU34;BLOCK INC.
S2TA34;STAG INDUSTR
S2UI34;SUN COMMUN
SANB11;SANTANDER BR
SAPR11;SANEPAR
SAPR4;SANEPAR
SARE11;FII SANT REN
SBFG3;GRUPO SBF
SBSP3;SABESP
SBUB34;STARBUCKS
SCAR3;SAO CARLOS
SCHW34;SCHWAB
SEER3;SER EDUCA
SGPS3;SPRINGS
SHOW3;TIME FOR FUN
SIMH3;SIMPAR
SIMN34;SIMON PROP
SLCE3;SLC AGRICOLA
SMFT3;SMART FIT
SMTO3;SAO MARTINHO
SNCI11;FII SUNO CRI
SNEC34;SONY GROUP
SNFF11;FII SUNOFOFI
SOJA3;BOA SAFRA
SOMA3;GRUPO SOMA
SPXS11;FII SPX SYN
SRNA3;SERENA
SSFO34;SALESFOR INC
STBP3;SANTOS BRP
SUZB3;SUZANO S.A.
SYNE3;SYN PROP TEC
T1AL34;TAL EDUCATIO
T1OW34;AMERICAN TOW
T1TW34;TAKE-TWO INT
T2DH34;TELADOCHEALT
T2TD34;TRADE DESK
TAEE11;TAESA
TASA3;TAURUS ARMAS
TASA4;TAURUS ARMAS
TCSA3;TECNISA
TECN3;TECHNOS
TEND3;TENDA
TEPP11;FII TEL PROP
TEXA34;TEXAS INC
TFCO4;TRACK FIELD
TGAR11;FII TG ATIVO
TGMA3;TEGMA
TIMS3;TIM
TLNC34;TELEFONIC
TMCO34;TOYOTAMO
TORD11;FII TORDE EI
TOTS3;TOTVS
TPIS3;TRIUNFO PART
TRBL11;FII SDI LOG
TRIS3;TRISUL
TRPL3;TRAN PAULIST
TRPL4;TRAN PAULIST
TRXF11;FII TRX REAL
TSLA34;TESLA INC
TSMC34;TAIWANSMFAC
TTEN3;3TENTOS
TUPY3;TUPY
TVRI11;FII TIVIO RI
U1BE34;UBER TECH IN
U2PS34;UPSTART HOLD
U2ST34;UNITY SOFTWR
UCAS3;UNICASA
UGPA3;ULTRAPAR
ULEV34;UNILEVER
UNHH34;UNITEDHEALTH
UNIP6;UNIPAR
URPR11;FII URCA REN
USIM3;USIMINAS
USIM5;USIMINAS
V1OD34;VODAFONE GRO
VALE3;VALE
VAMO3;VAMOS
VBBR3;VIBRA
VCJR11;FII VECTIS
VERZ34;VERIZON
VGHF11;FII VALOR HE
VGIP11;FII VALORAIP
VGIR11;FII VALREIII
VILG11;FII VINCI LG
VINO11;FII VINCI OF
VISA34;VISA INC
VISC11;FII VINCI SC
VITT3;VITTIA
VIUR11;FII VINCI IU
VIVA3;VIVARA S.A.
VIVR3;VIVER
VIVT3;TELEF BRASIL
